questions,class
What characteristics contribute to its `` intelligence '' ?,DESCRIPTION
What significant battle was fought in Belgium in 1815 ?,ENTITY
Which police department made the all-time biggest cocaine bust in Ventura County ?,HUMAN
Who gave us the `` Rolling Writer '' ?,HUMAN
How were the days of the week named ?,DESCRIPTION
Who wrote The Secret Life of Walter Mitty ?,HUMAN
What 1965 film had Jack Lemmon portraying a cartoonist ?,ENTITY
What is fiber in food ?,DESCRIPTION
What 's the traditional drink at the Kentucky Derby ?,ENTITY
Who is the head of the World Bank ?,HUMAN
"Why do some jets have a vapor trail , and others do not ?",DESCRIPTION
What is a fear of childbirth ?,ENTITY
How many people does Honda employ in the U.S. ?,NUMERIC
What species was Winnie the Pooh ?,ENTITY
How much calcium should an adult female have daily ?,NUMERIC
What is the most popular last name ?,HUMAN
What does an ashen-faced eidologist search out the existence of ?,ENTITY
Who moderated the first Kennedy-Nixon TV debate ?,HUMAN
Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?,HUMAN
What is the S&amp P 500 used for ?,DESCRIPTION
What does `` Philebus-like '' mean ?,DESCRIPTION
When was Nostradamus born ?,NUMERIC
What are the ingredients of Coca-Cola ?,ENTITY
Who 's the only U.S. president to have won a Pulitzer Prize ?,HUMAN
What is nuclear proliferation ?,DESCRIPTION
Who was Maria Theresa ?,HUMAN
What is the country of origin for the name Thomas ?,LOCATION
Why do you say `` God bless you '' when people sneeze ?,DESCRIPTION
What is the population of the largest Chilean city,NUMERIC
What country has the highest per capita consumption of cheese ?,LOCATION
What is Larry King 's occupation ?,HUMAN
Who invented `` The Muppets '' ?,HUMAN
"Why does a wheel , e.g. a car tire , appear to spin in the opposite direction as it slows down ?",DESCRIPTION
What sea is Bombay on ?,LOCATION
Who are cartoondom 's Super Six ?,HUMAN
What does `` E Pluribus Unum '' on the penny mean ?,DESCRIPTION
What 's the difference between TFT and dual-scan display ?,DESCRIPTION
What fool is not so wise To lose an oath to win a paradise ?,HUMAN
What is the English meaning of caliente ?,DESCRIPTION
Where in the Americas is it only 47 miles from the Atlantic to the Pacific ?,LOCATION
What does the word `` opera '' mean ?,DESCRIPTION
How tall was the animated Frankenstein,NUMERIC
How do you ask questions ?,DESCRIPTION
What U.S. city is known as The Rubber Capital of the World ?,LOCATION
What countries have the highest ratio of university students ?,LOCATION
How can you become an FBI agent ?,DESCRIPTION
What is the world 's best selling cookie ?,ENTITY
How many miles is it from NY to Austria ?,NUMERIC
Where did the energy for the Big Bang come from ?,DESCRIPTION
How big is the universe actually ?,NUMERIC
What is the difference between the Koran and The Bible ?,DESCRIPTION
What monarch signed the Magna Carta ?,HUMAN
What 's the U.S. Navy hymn ?,ENTITY
How many sides does a heptagon have ?,NUMERIC
What Grand Slam golf tournament wasn 't held between 1940 and 1945 ?,ENTITY
What is idealab ! ?,DESCRIPTION
Where are there aborigines ?,LOCATION
What toy can you make sleep ?,ENTITY
What caused the division between the Anglicans and the Vatican ?,DESCRIPTION
What corporation does Madonna advertise for ?,HUMAN
On what river is Rome built ?,LOCATION
"Where on the Web is Adventours Tours from Sydney , Australia ?",LOCATION
Where were the 1936 Summer Olympics held ?,LOCATION
What cathedral was Thomas Becket murdered in ?,LOCATION
Why was Curious George curious ?,DESCRIPTION
How did U.S.A become involved in the Barbary Wars,DESCRIPTION
The Kentucky Horse Park is close to which American city ?,LOCATION
What store does Martha Stewart advertise for ?,HUMAN
What do you know about multicultural and multilingual schools ?,DESCRIPTION
What is the origin of U.S. Army sergeant 's stripes ?,DESCRIPTION
How old was Sir Edmund Hillary when he climbed Mt. Everest ?,NUMERIC
Where in a tree does photosynthesis occur ?,LOCATION
What are some science fair projects for 8th graders ?,ENTITY
What strait links the Mediterranean Sea and the Atlantic Ocean ?,LOCATION
What airport is on the Piccadilly subway line ?,LOCATION
Which police department made the largest cocaine seizure ever in Ventura County ?,HUMAN
What color is the eight-ball in pocket billiards ?,ENTITY
What was the first ready-to-eat breakfast cereal ?,ENTITY
What did Benny Carter play ?,ENTITY
What seven digits follow the area code in the number for long distance information ?,NUMERIC
What city 's airport is named Logan International ?,LOCATION
What Pope inaugurated Vatican International Radio ?,HUMAN
How many times more than 3,NUMERIC
How many names are there for Eskimo people ?,NUMERIC
"What king is satirized in the line : `` The King was in the countinghouse , counting all his money '' ?",HUMAN
What shape-shifting menace did Rom come to Earth to fight ?,ENTITY
What is the nickname of Pennsylvania ?,LOCATION
What causes headaches ?,DESCRIPTION
Names of books by James A. Michener set in the following locations ?,ENTITY
When was the first stained glass window made ?,NUMERIC
What company 's trademark was His Master 's Voice ?,HUMAN
What Pope inaugurated Vatican International Radio ?,HUMAN
What director made one silent and one sound version of The Ten Commandments ?,HUMAN
When did swimming become commonplace ?,NUMERIC
Which presidents of the USA were Masons ?,HUMAN
Who was the tallest U.S. president ?,HUMAN
What is the largest museum in the world ?,LOCATION
How can I enforce new rules to a group of youngsters who have been allowed to do as they please .,DESCRIPTION
What character in The Beverly Hillbillies has the given names Daisy Moses ?,HUMAN
What comedienne calls her sister-in-law Captain Bligh and her mother-in-law Moby Dick ?,HUMAN
How many gallons of paint does it take to paint the Golden Gate Bridge ?,NUMERIC
What president also became a supreme court justice ?,HUMAN
When does menstruation begin ?,NUMERIC
Where did makeup originate ?,LOCATION
What is the only modern language that capitalizes its singular first-person pronoun ?,ENTITY
"What is the claim to fame of Agra , India ?",DESCRIPTION
What flag flies over Wake Island ?,ENTITY
How deep is a fathom ?,NUMERIC
What Kennedy was married to Ethel ?,ENTITY
What U.S. state is Mammoth Cave National Park in ?,LOCATION
What is the most famous German word in the English language ?,ENTITY
Who was actress June Havoc 's legendary sister ?,HUMAN
What is widely used to detect birth defects ?,ENTITY
What is the chromosome number of an elephant ?,NUMERIC
Who killed JFK ?,HUMAN
Who was the star witness at the Senate Watergate hearings ?,HUMAN
What is the Order of the Arrow in Boy Scouts ?,DESCRIPTION
In what country is a stuck-out tongue a friendly greeting ?,LOCATION
What are the five basic swimming strokes ?,ENTITY
Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70 's ?,HUMAN
Where is Erykah Badu originally from ?,LOCATION
Where can I buy a pony on the Big Island for my daughter ?,LOCATION
How old was George Washington when he died ?,NUMERIC
What is the recipe or formula for Coca-Cola ?,ENTITY
Who made the rotary engine automobile ?,HUMAN
"What is the origin of the term `` blue moon , '' and how often do they occur ?",DESCRIPTION
How many blacks served in the Vietnam War,NUMERIC
What were the last names of gangsters Bonnie and Clyde ?,HUMAN
What is the address of the famous Mexican star `` Thalia '' ?,LOCATION
What does a man suffering from diphallic terata have ?,ENTITY
Who invented panties ?,HUMAN
What is Pittsburgh 's baseball team called ?,HUMAN
"What is p.m. an abbreviation for , as in 5 p.m. ?",ABBREVIATION
What sport can a free-legged pacer compete in ?,ENTITY
What does CPR stand for ?,ABBREVIATION
What President had never held an elected office until he was elected to the White House ?,HUMAN
What are the diseases that can be cured by black cumin ?,ENTITY
What fruit does the ficus produce ?,ENTITY
Who is the richest person in the world ?,HUMAN
What is an aurora ?,DESCRIPTION
How much time does the blinking of an eye take ?,NUMERIC
What made the short-lived Star Hawks strip so unique ?,DESCRIPTION
What 's the biggest-selling U.S. magazine aimed at a black audience ?,ENTITY
How deep is a fathom ?,NUMERIC
What is the primary language of the Philippines ?,ENTITY
When did the use of `` the syringe '' first appear in medicinal history ?,NUMERIC
What was the Long March in China ?,DESCRIPTION
What international organization was founded by Clara Barton ?,HUMAN
What corporation does Madonna advertise for ?,HUMAN
What is the Islamic equivalent of the Red Cross ?,ENTITY
How many people visit the Pope each month ?,NUMERIC
What planet gave bith to Superman ?,LOCATION
What month of the year is there no television in Iceland ?,NUMERIC
What George Harrison tune sounded too much like He 's So Fine by The Chiffons ?,ENTITY
Who is buried in the great pyramid of Giza ?,HUMAN
"What is the most important nation in the world , historically ?",LOCATION
What is the current unemployment rate in the U.S. ?,NUMERIC
When was the first railroad from the east coast to the west coast completed ?,NUMERIC
How fast can a Corvette go ?,NUMERIC
What do a diamond and lump of coal have in common ?,DESCRIPTION
What famous actress made her first appearance on stage at the age of five in the year 191 as `` Baby '' ?,HUMAN
What effect does LSD have on the brain ?,DESCRIPTION
What are the three most successful companies of our time ?,HUMAN
How much did a McDonald 's hamburger cost in 1963 ?,NUMERIC
What is the name of the company that manufactures the `` American Girl '' doll collection ?,HUMAN
What is a horologist ?,DESCRIPTION
What was the effect of the Yalta Conference ?,DESCRIPTION
Where is the group M People from ?,LOCATION
What country is famous for Persian rugs ?,LOCATION
How many were in attendance at the Last Supper ?,NUMERIC
How long should you feed your puppy Purina Puppy Chow ?,NUMERIC
What do the figures represent on the Easter Island ?,DESCRIPTION
"What magazine paid $5 , 000 for an eight-millimeter film of John F. Kennedy 's assassination ?",ENTITY
What is the name given to the Islamic counterpart of the Red Cross ?,ENTITY
How does a submarine operate ?,DESCRIPTION
What city is graced by the Arch of Titus ?,LOCATION
What is Michael Jackson 's father 's name ?,HUMAN
Who was the girl in Peter Sellers 's soup ?,HUMAN
What creative genius said : `` Everything comes to him who hustles while he waits '' ?,HUMAN
How is Paraguay for vacations ?,DESCRIPTION
Where is the world 's most active volcano located ?,LOCATION
What is the acronym for the rating system for air conditioner efficiency ?,ABBREVIATION
What country is bounded in part by the Indian Ocean and Coral and Tasman seas ?,LOCATION
How many people did Randy Steven Craft murder ?,NUMERIC
What do you call a section of your finger from one joint to another ?,ENTITY
"What happened on January 15 , 1969 ?",ENTITY
What Muhammad Ali maneuver was George Foreman the first victim of ?,ENTITY
What is DSL ?,ABBREVIATION
How many small businesses are there in the United States ?,NUMERIC
Who was Ben Casey 's boss ?,HUMAN
What multitalented Academy-award-winning director failed a college course in motion-picture production ?,HUMAN
Where is Ayer 's rock ?,LOCATION
What 's a Craps player called ?,ENTITY
When was the Berlin Wall erected ?,NUMERIC
When was cigarette advertising banned on television and radio ?,NUMERIC
What is the name of the game that Garry Kasparov plays ?,ENTITY
What Caribbean cult did Marcus Garvey originate ?,ENTITY
What is the most widely cultivated plant ?,ENTITY
What wild and crazy guy wrote a book called Cruel Shoes ?,HUMAN
What city 's theatrical district has been dubbed The Roaring Forties ?,LOCATION
What should the temperature be set at while baking Peachy Oat Muffins ?,NUMERIC
What police force did Mack Sennett create ?,HUMAN
How many home runs did Babe Ruth hit in his lifetime ?,NUMERIC
"Who was in Death of a Salesman original movie , not 1985 ?",HUMAN
How do I get a complete list of all the people that are living with the last name Kilvington ?,DESCRIPTION
What is Dr. Ruth 's last name ?,HUMAN
What 's the world 's most common compound ?,ENTITY
Where was George Washington born ?,LOCATION
How many colors are there in the spectrum ?,NUMERIC
What 's the middle name of movie producer Joseph E. Levine ?,HUMAN
Define Sinn Fein .,DESCRIPTION
What two Caribbean countries share the island of Hispaniola ?,LOCATION
What is in baby powder and baby lotion that makes it smell the way it does ?,DESCRIPTION
What is probability theory ?,DESCRIPTION
Who told all in Ball Four ?,HUMAN
What kind of car did Janis Joplin ask the Lord to buy her ?,ENTITY
Who followed Willy Brandt as chancellor of the Federal Republic of Germany ?,HUMAN
What continent 's second-highest peak is Mont Blanc ?,LOCATION
What Peruvian city is home to the mummified body of Francisco Pizarro ?,LOCATION
When did French revolutionaries storm the Bastille ?,NUMERIC
